Name,ip
1/15/1950,14.4279
2/15/1950,14.4833
3/15/1950,14.9541
4/15/1950,15.4526
5/15/1950,15.8126
6/15/1950,16.2834
7/15/1950,16.8095
8/15/1950,17.3357
9/15/1950,17.2249
10/15/1950,17.3357
11/15/1950,17.308
12/15/1950,17.6126
1/15/1951,17.668
2/15/1951,17.7788
3/15/1951,17.8618
4/15/1951,17.8895
5/15/1951,17.8342
6/15/1951,17.7511
7/15/1951,17.4741
8/15/1951,17.308
9/15/1951,17.4188
10/15/1951,17.3911
11/15/1951,17.5295
12/15/1951,17.6403
1/15/1952,17.8341
2/15/1952,17.9449
3/15/1952,18.0003
4/15/1952,17.8341
5/15/1952,17.668
6/15/1952,17.5018
7/15/1952,17.2249
8/15/1952,18.3326
9/15/1952,18.9972
10/15/1952,19.1911
11/15/1952,19.5788
12/15/1952,19.6896
1/15/1953,19.7449
2/15/1953,19.8557
3/15/1953,20.0219
4/15/1953,20.105
5/15/1953,20.2157
6/15/1953,20.1326
7/15/1953,20.3819
8/15/1953,20.2711
9/15/1953,19.8557
10/15/1953,19.6896
11/15/1953,19.2188
12/15/1953,18.748
1/15/1954,18.6095
2/15/1954,18.6649
3/15/1954,18.5542
4/15/1954,18.4434
5/15/1954,18.5542
6/15/1954,18.6096
7/15/1954,18.6372
8/15/1954,18.6095
9/15/1954,18.6372
10/15/1954,18.8588
11/15/1954,19.1634
12/15/1954,19.4126
1/15/1955,19.8557
2/15/1955,20.105
3/15/1955,20.5757
4/15/1955,20.825
5/15/1955,21.1573
6/15/1955,21.185
7/15/1955,21.3511
8/15/1955,21.3234
9/15/1955,21.4619
10/15/1955,21.8219
11/15/1955,21.8773
12/15/1955,21.9604
1/15/1956,22.0988
2/15/1956,21.905
3/15/1956,21.905
4/15/1956,22.0712
5/15/1956,21.8773
6/15/1956,21.6835
7/15/1956,21.0188
8/15/1956,21.8773
9/15/1956,22.3758
10/15/1956,22.5696
11/15/1956,22.3758
12/15/1956,22.7081
1/15/1957,22.625
2/15/1957,22.8466
3/15/1957,22.8189
4/15/1957,22.5142
5/15/1957,22.4312
6/15/1957,22.4866
7/15/1957,22.625
8/15/1957,22.625
9/15/1957,22.4312
10/15/1957,22.0988
11/15/1957,21.5727
12/15/1957,21.1573
1/15/1958,20.7696
2/15/1958,20.3265
3/15/1958,20.0773
4/15/1958,19.745
5/15/1958,19.9388
6/15/1958,20.465
7/15/1958,20.7696
8/15/1958,21.185
9/15/1958,21.3788
10/15/1958,21.6281
11/15/1958,22.265
12/15/1958,22.2927
1/15/1959,22.625
2/15/1959,23.0681
3/15/1959,23.4004
4/15/1959,23.8989
5/15/1959,24.2589
6/15/1959,24.2866
7/15/1959,23.705
8/15/1959,22.9019
9/15/1959,22.8743
10/15/1959,22.7081
11/15/1959,22.8466
12/15/1959,24.2589
1/15/1960,24.8958
2/15/1960,24.6743
3/15/1960,24.4528
4/15/1960,24.2589
5/15/1960,24.2312
6/15/1960,23.9266
7/15/1960,23.8435
8/15/1960,23.8158
9/15/1960,23.5666
10/15/1960,23.5389
11/15/1960,23.2066
12/15/1960,22.7635
1/15/1961,22.7912
2/15/1961,22.7635
3/15/1961,22.902
4/15/1961,23.3727
5/15/1961,23.7327
6/15/1961,24.065
7/15/1961,24.342
8/15/1961,24.5635
9/15/1961,24.5358
